key,my,sigma,ordinal
frc2257,31.403606330870353,5.3289679221549795,15.416702564405416
frc2259,17.145481204833732,2.6132295612608383,9.305792521051217
frc2260,19.73869542610378,7.272007459842427,-2.0773269534234977
frc2261,21.329211166966505,2.7238507653786996,13.157658870830407
frc2262,27.259718313996473,1.553362161286867,22.59963183013587
frc2264,24.655874540943163,2.585423892323488,16.8996028639727
frc2265,24.591806578848406,1.7435308726152012,19.361213961002804
frc2266,25.473167307281145,6.721435844293738,5.308859774399931
frc2269,25.0,8.333333333333334,0.0
frc2272,26.498569992430028,4.136219192629847,14.089912414540487
frc2273,22.374853769084222,6.408548316117594,3.1492088207314417
frc2274,30.441422390400522,4.955963236040078,15.573532682280288
frc2275,15.84232736516801,3.636985200328811,4.931371764181577
frc2276,27.981727907894552,4.401363682822108,14.777636859428227
frc2278,20.866987934344476,6.869092010212633,0.2597119037065774
frc2279,27.350944063161702,3.9280905477481918,15.566672419917126
frc2280,22.553096613540127,5.481628130327406,6.10821222255791
frc2283,28.529859625432735,1.7905881796284344,23.158095086547434
frc2285,25.873307251767834,4.569671122278077,12.164293884933603
frc2287,20.6640859664808,6.035321733477518,2.558120766048244
frc2288,23.51282667985946,4.058808819505011,11.336400221344427
frc2330,13.490817731794948,6.5154333123977315,-6.0554822053982456
frc2332,20.92582914771821,6.532792927154091,1.3274503662559383
frc2333,23.68672970398409,1.9840326308711616,17.734631811370605
frc2334,27.5134909754549,5.583382930597769,10.763342183661592
frc2335,20.108967988949427,2.75295378546238,11.850106632562287
frc2336,23.749255190138708,7.173185430751406,2.2296988978844894
frc2337,37.53107307707612,0.970372316244098,34.61995612834383
frc2338,34.32173283595932,1.4426894300460964,29.993664545821026
frc2339,23.765254832971184,2.014937013980728,17.720443791029
frc2340,23.51821885364584,1.9596759852889496,17.63919089777899
frc2341,28.538289668890013,1.7360461057187577,23.33015135173374
frc2342,24.38511230603489,1.4960778030507713,19.896878896882576
frc2343,18.592844324072015,4.692877298914756,4.514212427327745
frc2344,25.198579668567728,2.093321455630524,18.918615301676155
frc2345,26.432376797710834,2.336202282382047,19.42376995056469
frc2346,19.584222539279406,3.1882594411818372,10.019444215733895
frc2347,20.575635945730614,2.4323608231663387,13.278553476231597
frc2348,23.617284313428286,2.8755062946710086,14.99076542941526
frc2349,21.89325054142518,3.9334013995320114,10.093046342829144
frc2350,21.55927965665242,5.597801769589415,4.7658743478841785
frc2352,26.416361250604023,1.8385682116574409,20.9006566156317
frc2353,23.271708198565932,2.7059241013324264,15.153935894568653
frc2354,24.914590071068037,2.4244427285773646,17.641261885335943
frc2357,23.863592098586533,2.2255378266655734,17.186978618589812
frc2358,26.460680752453634,1.7935913218975827,21.079906786760887
frc2359,23.33469036904065,1.9009086402592668,17.63196444826285
frc2360,22.502625349478958,2.869917902593867,13.892871641697358
frc2361,21.277979830134825,3.9821478660735106,9.331536231914294
frc2362,20.580512399958618,4.792863340814179,6.20192237751608
frc2363,35.47392116073973,1.271391515949898,31.659746612890032
frc2364,21.50758640876697,5.680794163639152,4.465203917849514
frc2365,29.259031727972967,6.534616724936459,9.65518155316359
frc2366,21.505334514077607,6.502146829780626,1.9988940247357299
frc2367,24.028728887666333,1.9501842556305105,18.1781761207748
frc2368,17.037841325203523,4.751265712376766,2.784044188073226
frc2369,26.907877079149344,4.163819153359852,14.416419619069789
frc2370,32.37191405872903,1.332592839107448,28.374135541406687
frc2371,18.058770877079688,7.305280309327099,-3.8570700509016085
frc2372,21.950006743102797,4.202848204956633,9.341462128232898
frc2373,27.888107434803572,2.4401271565312213,20.56772596520991
frc2374,23.187445814436888,1.5517376601372532,18.53223283402513
frc2375,24.973887347048528,1.9184127425224693,19.21864911948112
frc2376,27.33204371316665,5.589525658235081,10.563466738461411
frc2377,27.76292820585557,1.3528961592485007,23.704239728110068
frc2378,21.287273221984805,7.25982144034406,-0.4921910990473748
frc2380,18.972509923978176,7.228351102523937,-2.7125433835936335
frc2381,15.187441795072791,6.22794356568164,-3.496388901972127
frc2382,15.654075126601159,3.5848882945250375,4.899410243026045
frc2383,33.065745080179326,1.405273024570919,28.849926006466568
frc2385,22.608595661931645,7.412674343214033,0.3705726322895444
frc2386,28.783342120213945,1.4118219395345106,24.547876301610412
frc2387,26.529973609812814,5.498429115322558,10.034686263845138
frc2388,25.262591764360273,2.9258326328209296,16.485093865897483
frc2389,19.502435929673776,3.4482284163200063,9.157750680713757
frc2390,20.54272826257487,4.422170396593956,7.276217072792999
frc2391,23.8279922476183,4.759926193755388,9.548213666352137
frc2392,11.565913901787724,6.93683958510427,-9.244604853525086
frc2393,28.756496574494147,1.8548844348408753,23.19184326997152
frc2394,33.19479192033868,6.972109901143574,12.278462216907961
frc2395,22.593192428997952,2.0340551351993286,16.491027023399965
frc2396,18.91994325312437,5.211871805693632,3.284327836043474
frc2397,23.710071688495127,7.095759831387553,2.4227921943324695
frc2398,21.714909348691357,2.8735403714901646,13.094288234220864
frc2399,28.33848045553808,1.861104571908331,22.755166739813085
frc2400,22.50501883014818,6.114100725004047,4.162716655136041
frc2401,23.53945306708017,6.316604641993666,4.589639141099173
frc2402,26.655024192511306,3.5673874329444413,15.952861893677982
frc2403,32.72458929450791,1.5300837337915756,28.13433809313318
frc2404,15.833698000023807,2.8609713419149894,7.250783974278839
frc2405,22.948736132621054,1.4694762872614153,18.540307270836806
frc2406,20.196824587192975,6.107446473917436,1.8744851654406638
frc2407,27.98962097270907,4.807844569965589,13.566087262812303
frc2408,17.336088263892165,2.4235722144150675,10.065371620646962
frc2409,19.9664730223886,6.9347108330987455,-0.8376594769076391
frc2410,29.443772603389302,1.6988463972423682,24.3472334116622
frc2411,22.317085312430578,1.8080523063183,16.892928393475678
frc2412,27.00268544619202,1.4903321694840947,22.531688937739737
frc2413,22.31606908368882,6.276689004226087,3.4860020710105566
frc2414,23.304615496940514,5.383615539398759,7.153768878744238
frc2415,29.276351744550727,1.3107279401943186,25.34416792396777
frc2417,20.339259351961207,7.100725126396802,-0.9629160272291983
frc2418,19.93899620338194,4.604689955937154,6.124926335570478
frc2419,12.219224130966127,6.930260181484138,-8.571556413486286
frc2420,22.491517277281602,3.967900190426552,10.587816706001945
